文件路径：/home/xuchen/FanMing/file/topicScore/Google/Communication.txt
文件总数：622
敏感函数个数:227
函数名,主题使用次数,恶意使用次数,威胁评分
android/provider/Contacts$People:createPersonInMyContactsGroup(android/content/ContentResolver;android/content/ContentValues;)android/net/Uri;,11/622,22/6154,0.006129574431288636
android/bluetooth/BluetoothAdapter:getBondedDevices()java/util/Set;,25/622,27/6154,0.006049408513396168
android/telephony/SmsManager:sendMultipartTextMessage(java/lang/String;java/lang/String;java/util/Arrayist;java/util/Arrayist;java/util/Arrayist;)V,39/622,31/6154,0.006003191776770969
android/provider/ContactsContract$Contacts:getLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,27/622,27/6154,0.005908201745273348
android/net/wifi/WifiManager:disableNetwork(I)Z,8/622,19/6154,0.00567946207828703
android/net/wifi/WifiManager:removeNetwork(I)Z,7/622,18/6154,0.005530160409258978
android/media/AudioManager:isWiredHeadsetOn()Z,12/622,20/6154,0.005459366371088664
android/net/wifi/WifiManager:addNetwork(android/net/wifi/WifiConfiguration;)I,10/622,19/6154,0.005410392637490945
android/net/wifi/WifiManager:getConfiguredNetworks()java/util/ist;,16/622,21/6154,0.005334769374319701
android/net/wifi/WifiManager:enableNetwork(IZ)Z,11/622,19/6154,0.00529372337247655
android/net/wifi/WifiManager:reconnect()Z,9/622,17/6154,0.0049552220571569576
android/net/ConnectivityManager:stopUsingNetworkFeature(Ijava/lang/String;)I,10/622,17/6154,0.004840877623018214
android/net/wifi/WifiManager:saveConfiguration()Z,10/622,17/6154,0.004840877623018214
android/accounts/AccountManager:getAuthToken(android/accounts/Account;java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,6/622,15/6154,0.004749818844678002
android/media/RingtoneManager:getRingtone(android/content/Context;android/net/Uri;)android/media/Ringtone;,76/622,32/6154,0.004717840283488265
android/media/AudioManager:setMode(I)V,48/622,25/6154,0.004483239781696072
android/media/AudioManager:setSpeakerphoneOn(Z)V,60/622,26/6154,0.004260639306415558
android/accounts/AccountManager:invalidateAuthToken(java/lang/String;java/lang/String;)V,15/622,16/6154,0.004133039719297742
android/net/ConnectivityManager:requestRouteToHost(II)Z,10/622,14/6154,0.003986605101309117
android/bluetooth/BluetoothAdapter:getAddress()java/lang/String;,3/622,11/6154,0.003917620137632665
android/accounts/AccountManager:addAccount(java/lang/String;java/lang/String;[java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,10/622,13/6154,0.0037018475940727527
android/content/ContentResolver:setMasterSyncAutomatically(Z)V,4/622,10/6154,0.0034039980181260966
android/content/ContentResolver:getMasterSyncAutomatically()Z,12/622,12/6154,0.0032756198226531986
android/location/LocationManager:getProviders(android/location/Criteria;Z)java/util/ist;,1/622,8/6154,0.003240507493047563
android/app/WallpaperManager:setResource(I)V,1/622,8/6154,0.003240507493047563
android/net/wifi/WifiManager:getDhcpInfo()android/net/DhcpInfo;,9/622,11/6154,0.003206320154630973
android/provider/Settings$System:getUriFor(java/lang/String;)android/net/Uri;,3/622,8/6154,0.0028491782819146656
android/accounts/AccountManager:removeAccount(android/accounts/Account;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,23/622,12/6154,0.002756410418549001
android/media/Ringtone:play()V,55/622,16/6154,0.00271849816752582
android/bluetooth/BluetoothAdapter:getState()I,5/622,8/6154,0.0026202653679651285
android/accounts/AccountManager:getPassword(android/accounts/Account;)java/lang/String;,12/622,9/6154,0.002456714866989899
android/accounts/AccountManager:getUserData(android/accounts/Account;java/lang/String;)java/lang/String;,13/622,9/6154,0.0024096459442822923
android/telephony/gsm/SmsManager:sendMultipartTextMessage(java/lang/String;java/lang/String;java/util/Arrayist;java/util/Arrayist;java/util/Arrayist;)V,16/622,9/6154,0.0022863297318513
android/accounts/AccountManager:addAccountExplicitly(android/accounts/Account;java/lang/String;android/os/Bundle;)Z,31/622,10/6154,0.002093988310644967
android/media/MediaPlayer:setWakeMode(android/content/Context;I)V,2/622,5/6154,0.001882246611936266
android/media/Ringtone:setStreamType(I)V,14/622,7/6154,0.0018400867532411378
android/hardware/Camera:open(I)android/hardware/Camera;,23/622,8/6154,0.001837606945699334
android/provider/Browser:clearHistory(android/content/ContentResolver;)V,3/622,5/6154,0.0017807364261966656
android/media/AsyncPlayer:play(android/content/Context;android/net/Uri;ZI)V,2/622,4/6154,0.001505797289549013
android/app/NotificationManager:notify(java/lang/String;Iandroid/app/Notification;)V,8/622,5/6154,0.0014945952837597447
android/media/MediaRecorder:setVideoSource(I)V,11/622,5/6154,0.0013930850980201444
android/app/KeyguardManager:exitKeyguardSecurely(android/app/KeyguardManager$OnKeyguardExitResult;)V,13/622,5/6154,0.0013386921912679401
android/media/Ringtone:stop()V,41/622,7/6154,0.0013314572083279862
android/media/AudioManager:isBluetoothA2dpOn()Z,8/622,4/6154,0.001195676227007796
android/provider/Browser:canClearHistory(android/content/ContentResolver;)Z,2/622,3/6154,0.0011293479671617597
android/widget/QuickContactBadge:assignContactFromEmail(java/lang/String;Z)V,3/622,3/6154,0.0010684418557179995
android/provider/Settings$System:putString(android/content/ContentResolver;java/lang/String;java/lang/String;)Z,6/622,3/6154,9.499637689356005E-4
android/net/wifi/WifiManager:updateNetwork(android/net/wifi/WifiConfiguration;)I,7/622,3/6154,9.216934015431631E-4
android/nfc/tech/Ndef:connect()V,1/622,2/6154,8.101268732618907E-4
android/provider/Browser:clearSearches(android/content/ContentResolver;)V,1/622,2/6154,8.101268732618907E-4
android/nfc/NfcAdapter:disableForegroundDispatch(android/app/Activity;)V,1/622,2/6154,8.101268732618907E-4
android/nfc/tech/Ndef:writeNdefMessage(android/nfc/NdefMessage;)V,1/622,2/6154,8.101268732618907E-4
android/provider/Settings$Secure:getUriFor(java/lang/String;)android/net/Uri;,2/622,2/6154,7.528986447745065E-4
android/provider/Browser:deleteFromHistory(android/content/ContentResolver;java/lang/String;)V,2/622,2/6154,7.528986447745065E-4
android/media/AsyncPlayer:stop()V,2/622,2/6154,7.528986447745065E-4
android/accounts/AccountManager:blockingGetAuthToken(android/accounts/Account;java/lang/String;Z)java/lang/String;,3/622,2/6154,7.122945704786664E-4
android/provider/Contacts$People:addToMyContactsGroup(android/content/ContentResolver;J)android/net/Uri;,3/622,2/6154,7.122945704786664E-4
android/net/ConnectivityManager:getNetworkPreference()I,3/622,2/6154,7.122945704786664E-4
android/nfc/NfcAdapter:enableForegroundDispatch(android/app/Activity;android/app/PendingIntent;[android/content/IntentFilter;[[java/lang/String;)V,3/622,2/6154,7.122945704786664E-4
android/content/ContentResolver:setIsSyncable(android/accounts/Account;java/lang/String;I)V,12/622,2/6154,5.459366371088664E-4
android/content/ContentResolver:getSyncAutomatically(android/accounts/Account;java/lang/String;)Z,12/622,2/6154,5.459366371088664E-4
android/content/ContentResolver:setSyncAutomatically(android/accounts/Account;java/lang/String;Z)V,28/622,2/6154,4.3269170841464506E-4
android/accounts/AccountManager:getAccountsByTypeAndFeatures(java/lang/String;[java/lang/String;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,1/622,1/6154,4.0506343663094537E-4
android/telephony/SmsManager:sendDataMessage(java/lang/String;java/lang/String;S[Bandroid/app/PendingIntent;android/app/PendingIntent;)V,2/622,1/6154,3.7644932238725323E-4
android/provider/Contacts$People:queryGroups(android/content/ContentResolver;J)android/database/Cursor;,2/622,1/6154,3.7644932238725323E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/protocol/HttpContext;)org/apache/http/HttpResponse;,3/622,1/6154,3.561472852393332E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/client/ResponseHandler;org/apache/http/protocol/HttpContext;)java/lang/Object;,3/622,1/6154,3.561472852393332E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/client/ResponseHandler;)java/lang/Object;,3/622,1/6154,3.561472852393332E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;org/apache/http/client/ResponseHandler;org/apache/http/protocol/HttpContext;)java/lang/Object;,3/622,1/6154,3.561472852393332E-4
android/net/wifi/WifiManager:reassociate()Z,5/622,1/6154,3.2753317099564106E-4
android/accounts/AccountManager:getAuthToken(android/accounts/Account;java/lang/String;Zandroid/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,5/622,1/6154,3.2753317099564106E-4
android/provider/ContactsContract$Contacts:markAsContacted(android/content/ContentResolver;J)V,7/622,1/6154,3.0723113384772103E-4
android/content/ContentResolver:getIsSyncable(android/accounts/Account;java/lang/String;)I,8/622,1/6154,2.98919056751949E-4
android/provider/Contacts$People:markAsContacted(android/content/ContentResolver;J)V,8/622,1/6154,2.98919056751949E-4
android/net/wifi/WifiManager:disconnect()Z,9/622,1/6154,2.9148365042099754E-4
android/accounts/AccountManager:addOnAccountsUpdatedListener(android/accounts/OnAccountsUpdateistener;android/os/Handler;Z)V,10/622,1/6154,2.8475750723636555E-4
android/media/AudioManager:setMicrophoneMute(Z)V,14/622,1/6154,2.628695361773054E-4
android/provider/ContactsContract$Contacts:getLookupUri(Jjava/lang/String;)android/net/Uri;,27/622,1/6154,2.1882228686197588E-4
android/provider/Settings$System:putLong(android/content/ContentResolver;java/lang/String;J)Z,1/622,0/6154,0.0
