文件路径：/home/xuchen/FanMing/file/topicScore/Google/Business.txt
文件总数：491
敏感函数个数:196
函数名,主题使用次数,恶意使用次数,威胁评分
android/provider/Contacts$People:addToMyContactsGroup(android/content/ContentResolver;J)android/net/Uri;,2/491,2/6154,7.19519089178845E-4
android/content/ContentResolver:getSyncAutomatically(android/accounts/Account;java/lang/String;)Z,2/491,2/6154,7.19519089178845E-4
android/content/ContentResolver:setIsSyncable(android/accounts/Account;java/lang/String;I)V,3/491,2/6154,6.78915014883005E-4
android/provider/Settings$Secure:getUriFor(java/lang/String;)android/net/Uri;,3/491,2/6154,6.78915014883005E-4
android/accounts/AccountManager:blockingGetAuthToken(android/accounts/Account;java/lang/String;Z)java/lang/String;,4/491,2/6154,6.47420048029558E-4
android/accounts/AccountManager:clearPassword(android/accounts/Account;)V,4/491,2/6154,6.47420048029558E-4
android/content/ContentResolver:setSyncAutomatically(android/accounts/Account;java/lang/String;Z)V,6/491,2/6154,5.999296236947389E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/protocol/HttpContext;)org/apache/http/HttpResponse;,1/491,1/6154,3.8837365883311465E-4
android/accounts/AccountManager:getAccountsByTypeAndFeatures(java/lang/String;[java/lang/String;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,1/491,1/6154,3.8837365883311465E-4
android/provider/ContactsContract$Contacts:getLookupUri(Jjava/lang/String;)android/net/Uri;,2/491,1/6154,3.597595445894225E-4
android/media/AudioManager:setMicrophoneMute(Z)V,3/491,1/6154,3.394575074415025E-4
android/provider/Settings$Secure:putInt(android/content/ContentResolver;java/lang/String;I)Z,3/491,1/6154,3.394575074415025E-4
android/accounts/AccountManager:getAuthToken(android/accounts/Account;java/lang/String;Zandroid/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,5/491,1/6154,3.1084339319781035E-4
android/accounts/AccountManager:addOnAccountsUpdatedListener(android/accounts/OnAccountsUpdateistener;android/os/Handler;Z)V,6/491,1/6154,2.9996481184736944E-4
android/net/wifi/WifiManager:disconnect()Z,8/491,1/6154,2.8222927895411827E-4
android/net/wifi/WifiManager:reassociate()Z,9/491,1/6154,2.747938726231668E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/client/ResponseHandler;)java/lang/Object;,11/491,1/6154,2.619272418061982E-4
android/bluetooth/BluetoothDevice:createInsecureRfcommSocketToServiceRecord(java/util/UUID;)android/bluetooth/BluetoothSocket;,2/491,0/6154,0.0
android/nfc/tech/IsoDep:connect()V,1/491,0/6154,0.0
android/location/LocationManager:addNmeaListener(android/location/GpsStatus$Nmeaistener;)Z,1/491,0/6154,0.0
android/bluetooth/BluetoothDevice:getBluetoothClass()android/bluetooth/BluetoothClass;,5/491,0/6154,0.0
android/provider/Browser:truncateHistory(android/content/ContentResolver;)V,4/491,0/6154,0.0
java/net/ServerSocket:bind(java/net/SocketAddress;I)V,1/491,0/6154,0.0
android/content/Context:sendStickyBroadcast(android/content/Intent;)V,3/491,0/6154,0.0
android/content/ContentResolver:isSyncActive(android/accounts/Account;java/lang/String;)Z,1/491,0/6154,0.0
android/inputmethodservice/KeyboardView:onLongPress(android/inputmethodservice/Keyboard$Key;)Z,1/491,0/6154,0.0
android/bluetooth/BluetoothAdapter:getName()java/lang/String;,3/491,0/6154,0.0
android/content/Context:removeStickyBroadcast(android/content/Intent;)V,4/491,0/6154,0.0
android/content/ContentResolver:removePeriodicSync(android/accounts/Account;java/lang/String;android/os/Bundle;)V,1/491,0/6154,0.0
android/provider/Settings$System:putConfiguration(android/content/ContentResolver;android/content/res/Configuration;)Z,1/491,0/6154,0.0
android/content/Context:clearWallpaper()V,2/491,0/6154,0.0
android/app/ActivityManager:moveTaskToFront(II)V,3/491,0/6154,0.0
android/media/RingtoneManager:getRingtone(I)android/media/Ringtone;,1/491,0/6154,0.0
android/provider/Contacts$People:addToGroup(android/content/ContentResolver;JJ)android/net/Uri;,2/491,0/6154,0.0
android/provider/Contacts$People:addToGroup(android/content/ContentResolver;Jjava/lang/String;)android/net/Uri;,2/491,0/6154,0.0
android/widget/QuickContactBadge:assignContactFromPhone(java/lang/String;Z)V,1/491,0/6154,0.0
android/accounts/AccountManager:setUserData(android/accounts/Account;java/lang/String;java/lang/String;)V,5/491,0/6154,0.0
android/accounts/AccountManager:setPassword(android/accounts/Account;java/lang/String;)V,7/491,0/6154,0.0
android/widget/VideoView:resume()V,1/491,0/6154,0.0
android/accounts/AccountManager:updateCredentials(android/accounts/Account;java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,2/491,0/6154,0.0
android/nfc/tech/IsoDep:transceive([B)[B,1/491,0/6154,0.0
android/media/AudioManager:setBluetoothScoOn(Z)V,1/491,0/6154,0.0
android/content/ContentResolver:isSyncPending(android/accounts/Account;java/lang/String;)Z,1/491,0/6154,0.0
android/media/AudioManager:startBluetoothSco()V,1/491,0/6154,0.0
android/provider/Settings$Secure:setLocationProviderEnabled(android/content/ContentResolver;java/lang/String;Z)V,2/491,0/6154,0.0
android/content/ContentResolver:addPeriodicSync(android/accounts/Account;java/lang/String;android/os/Bundle;J)V,2/491,0/6154,0.0
android/media/AudioManager:stopBluetoothSco()V,1/491,0/6154,0.0
android/inputmethodservice/KeyboardView:setKeyboard(android/inputmethodservice/Keyboard;)V,6/491,0/6154,0.0
android/provider/Settings$System:putFloat(android/content/ContentResolver;java/lang/String;F)Z,1/491,0/6154,0.0
android/accounts/AccountManager:confirmCredentials(android/accounts/Account;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,1/491,0/6154,0.0
android/accounts/AccountManager:getAuthTokenByFeatures(java/lang/String;java/lang/String;[java/lang/String;android/app/Activity;android/os/Bundle;android/os/Bundle;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,2/491,0/6154,0.0
android/accounts/AccountManager:peekAuthToken(android/accounts/Account;java/lang/String;)java/lang/String;,3/491,0/6154,0.0
android/nfc/tech/IsoDep:close()V,1/491,0/6154,0.0
android/accounts/AccountManager:setAuthToken(android/accounts/Account;java/lang/String;java/lang/String;)V,3/491,0/6154,0.0
