文件路径：/home/xuchen/FanMing/file/topicScore/Google/Entertainment.txt
文件总数：798
敏感函数个数:143
函数名,主题使用次数,恶意使用次数,威胁评分
android/net/ConnectivityManager:requestRouteToHost(II)Z,4/798,14/6154,0.005011774523595376
android/accounts/AccountManager:invalidateAuthToken(java/lang/String;java/lang/String;)V,13/798,16/6154,0.0045651604957360845
android/accounts/AccountManager:getAuthToken(android/accounts/Account;java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,10/798,15/6154,0.004535123999494242
android/accounts/AccountManager:addAccount(java/lang/String;java/lang/String;[java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,6/798,13/6154,0.004345102870876527
android/accounts/AccountManager:getPassword(android/accounts/Account;)java/lang/String;,1/798,9/6154,0.0038038277642477632
android/accounts/AccountManager:getUserData(android/accounts/Account;java/lang/String;)java/lang/String;,1/798,9/6154,0.0038038277642477632
android/media/Ringtone:play()V,36/798,16/6154,0.003467796340029209
android/app/WallpaperManager:setResource(I)V,1/798,8/6154,0.003381180234886901
android/net/wifi/WifiManager:getDhcpInfo()android/net/DhcpInfo;,11/798,11/6154,0.003258212235673408
android/media/Ringtone:setStreamType(I)V,1/798,7/6154,0.002958532705526038
android/hardware/Camera:open(I)android/hardware/Camera;,6/798,8/6154,0.0026739094590009396
android/app/WallpaperManager:suggestDesiredDimensions(II)V,3/798,7/6154,0.002616119645784753
android/location/LocationManager:getProviders(android/location/Criteria;Z)java/util/ist;,10/798,8/6154,0.0024187327997302627
android/media/Ringtone:stop()V,9/798,7/6154,0.002163474202056403
android/media/MediaRecorder:setVideoSource(I)V,3/798,5/6154,0.001868656889846252
android/app/NotificationManager:notify(java/lang/String;Iandroid/app/Notification;)V,5/798,5/6154,0.0017255863186277913
android/net/wifi/WifiManager$MulticastLock:release()V,2/798,4/6154,0.0015761336604686819
android/net/wifi/WifiManager$MulticastLock:acquire()V,3/798,4/6154,0.0014949255118770018
android/media/MediaPlayer:setWakeMode(android/content/Context;I)V,15/798,5/6154,0.0013794953759301305
android/provider/Settings$System:putString(android/content/ContentResolver;java/lang/String;java/lang/String;)Z,1/798,3/6154,0.0012679425880825878
android/app/WallpaperManager:setStream(java/io/InputStream;)V,2/798,2/6154,7.880668302343409E-4
android/accounts/AccountManager:blockingGetAuthToken(android/accounts/Account;java/lang/String;Z)java/lang/String;,3/798,2/6154,7.474627559385009E-4
android/net/wifi/WifiManager:reassociate()Z,1/798,1/6154,4.226475293608626E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/protocol/HttpContext;)org/apache/http/HttpResponse;,1/798,1/6154,4.226475293608626E-4
android/net/wifi/WifiManager:disconnect()Z,1/798,1/6154,4.226475293608626E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/client/ResponseHandler;org/apache/http/protocol/HttpContext;)java/lang/Object;,1/798,1/6154,4.226475293608626E-4
