文件路径：/home/xuchen/FanMing/file/topicScore/Google/Personalization.txt
文件总数：732
敏感函数个数:99
函数名,主题使用次数,恶意使用次数,威胁评分
android/app/NotificationManager:notify(java/lang/String;Iandroid/app/Notification;)V,2/732,5/6154,0.001939705741256686
android/app/WallpaperManager:setResource(I)V,27/732,8/6154,0.0018425129018084794
android/provider/Settings$System:putString(android/content/ContentResolver;java/lang/String;java/lang/String;)Z,3/732,3/6154,0.0011029173333102515
android/provider/Browser:clearSearches(android/content/ContentResolver;)V,1/732,2/6154,8.331105249900588E-4
android/provider/Settings$Secure:getUriFor(java/lang/String;)android/net/Uri;,1/732,2/6154,8.331105249900588E-4
android/provider/Browser:deleteFromHistory(android/content/ContentResolver;java/lang/String;)V,1/732,2/6154,8.331105249900588E-4
android/app/WallpaperManager:setStream(java/io/InputStream;)V,8/732,2/6154,6.20821765232066E-4
android/provider/ContactsContract$Contacts:getLookupUri(Jjava/lang/String;)android/net/Uri;,1/732,1/6154,4.165552624950294E-4
android/app/WallpaperManager:clear()V,2/732,1/6154,3.8794114825133725E-4
android/provider/Settings$System:putLong(android/content/ContentResolver;java/lang/String;J)Z,4/732,0/6154,0.0
android/media/RingtoneManager:getRingtone(I)android/media/Ringtone;,4/732,0/6154,0.0
android/location/LocationManager:requestSingleUpdate(java/lang/String;android/location/ocationistener;android/os/ooper;)V,1/732,0/6154,0.0
android/media/RingtoneManager:stopPreviousRingtone()V,4/732,0/6154,0.0
