文件路径：/home/xuchen/FanMing/file/topicScore/Google/Tools.txt
文件总数：625
敏感函数个数:211
函数名,主题使用次数,恶意使用次数,威胁评分
android/accounts/AccountManager:addAccount(java/lang/String;java/lang/String;[java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,8/625,13/6154,0.003890361976399375
android/accounts/AccountManager:invalidateAuthToken(java/lang/String;java/lang/String;)V,20/625,16/6154,0.0038314220932340747
android/media/Ringtone:play()V,20/625,16/6154,0.0038314220932340747
android/accounts/AccountManager:addAccountExplicitly(android/accounts/Account;java/lang/String;android/os/Bundle;)Z,2/625,10/6154,0.0037678887920448694
android/accounts/AccountManager:removeAccount(android/accounts/Account;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,7/625,12/6154,0.003690848287979457
android/location/LocationManager:getProviders(android/location/Criteria;Z)java/util/ist;,1/625,8/6154,0.003243223947585433
android/bluetooth/BluetoothAdapter:getAddress()java/lang/String;,10/625,11/6154,0.003136067704589593
android/telephony/gsm/SmsManager:sendMultipartTextMessage(java/lang/String;java/lang/String;java/util/Arrayist;java/util/Arrayist;java/util/Arrayist;)V,4/625,9/6154,0.0030666542276685904
android/content/ContentResolver:getMasterSyncAutomatically()Z,18/625,12/6154,0.0029583225538990826
android/net/wifi/WifiManager:getDhcpInfo()android/net/DhcpInfo;,13/625,11/6154,0.0029488579457790398
android/location/LocationManager:sendExtraCommand(java/lang/String;java/lang/String;android/os/Bundle;)Z,2/625,7/6154,0.002637522154431409
android/provider/Settings$System:getUriFor(java/lang/String;)android/net/Uri;,7/625,8/6154,0.0024605655253196385
android/content/ContentResolver:setMasterSyncAutomatically(Z)V,20/625,10/6154,0.0023946388082712964
android/hardware/Camera:open(I)android/hardware/Camera;,8/625,8/6154,0.0023940689085534617
android/media/Ringtone:setStreamType(I)V,6/625,7/6154,0.0022189590252370377
android/media/Ringtone:stop()V,7/625,7/6154,0.002152994834654683
android/bluetooth/BluetoothAdapter:getState()I,17/625,8/6154,0.002002739697420565
android/media/MediaRecorder:setVideoSource(I)V,2/625,5/6154,0.0018839443960224347
android/app/NotificationManager:notify(java/lang/String;Iandroid/app/Notification;)V,3/625,5/6154,0.0017824342102828346
android/app/KeyguardManager:exitKeyguardSecurely(android/app/KeyguardManager$OnKeyguardExitResult;)V,4/625,5/6154,0.0017036967931492169
android/location/LocationManager:clearTestProviderEnabled(java/lang/String;)V,1/625,4/6154,0.0016216119737927164
android/location/LocationManager:clearTestProviderStatus(java/lang/String;)V,1/625,4/6154,0.0016216119737927164
android/location/LocationManager:clearTestProviderLocation(java/lang/String;)V,1/625,4/6154,0.0016216119737927164
android/net/wifi/WifiManager$MulticastLock:acquire()V,2/625,4/6154,0.001507155516817948
android/location/LocationManager:addTestProvider(java/lang/String;ZZZZZZZII)V,2/625,4/6154,0.001507155516817948
android/net/wifi/WifiManager$MulticastLock:release()V,2/625,4/6154,0.001507155516817948
android/media/AsyncPlayer:play(android/content/Context;android/net/Uri;ZI)V,3/625,4/6154,0.001425947368226268
android/location/LocationManager:addProximityAlert(DDFJandroid/app/PendingIntent;)V,3/625,4/6154,0.001425947368226268
android/media/AudioManager:isBluetoothA2dpOn()Z,4/625,4/6154,0.0013629574345193738
android/provider/Browser:clearHistory(android/content/ContentResolver;)V,18/625,5/6154,0.001232634397457951
android/location/LocationManager:removeTestProvider(java/lang/String;)V,1/625,3/6154,0.0012162089803445374
android/net/wifi/WifiManager:updateNetwork(android/net/wifi/WifiConfiguration;)I,4/625,3/6154,0.0010222180758895302
android/provider/Browser:canClearHistory(android/content/ContentResolver;)Z,5/625,3/6154,9.836181834386244E-4
android/content/ContentResolver:setIsSyncable(android/accounts/Account;java/lang/String;I)V,1/625,2/6154,8.108059868963582E-4
android/content/ContentResolver:setSyncAutomatically(android/accounts/Account;java/lang/String;Z)V,1/625,2/6154,8.108059868963582E-4
android/provider/Settings$Secure:putString(android/content/ContentResolver;java/lang/String;java/lang/String;)Z,1/625,2/6154,8.108059868963582E-4
android/media/AsyncPlayer:stop()V,1/625,2/6154,8.108059868963582E-4
android/provider/Settings$System:putString(android/content/ContentResolver;java/lang/String;java/lang/String;)Z,16/625,3/6154,7.631285810688014E-4
android/accounts/AccountManager:blockingGetAuthToken(android/accounts/Account;java/lang/String;Z)java/lang/String;,2/625,2/6154,7.53577758408974E-4
android/nfc/tech/NdefFormatable:connect()V,3/625,2/6154,7.12973684113134E-4
android/nfc/tech/NdefFormatable:format(android/nfc/NdefMessage;)V,3/625,2/6154,7.12973684113134E-4
android/nfc/tech/Ndef:connect()V,3/625,2/6154,7.12973684113134E-4
android/nfc/NfcAdapter:enableForegroundDispatch(android/app/Activity;android/app/PendingIntent;[android/content/IntentFilter;[[java/lang/String;)V,3/625,2/6154,7.12973684113134E-4
android/nfc/NfcAdapter:disableForegroundDispatch(android/app/Activity;)V,3/625,2/6154,7.12973684113134E-4
android/nfc/tech/Ndef:writeNdefMessage(android/nfc/NdefMessage;)V,3/625,2/6154,7.12973684113134E-4
android/provider/Browser:deleteFromHistory(android/content/ContentResolver;java/lang/String;)V,4/625,2/6154,6.814787172596869E-4
android/accounts/AccountManager:clearPassword(android/accounts/Account;)V,4/625,2/6154,6.814787172596869E-4
android/content/ContentResolver:getSyncAutomatically(android/accounts/Account;java/lang/String;)Z,7/625,2/6154,6.151413813299096E-4
android/provider/Settings$Secure:getUriFor(java/lang/String;)android/net/Uri;,10/625,2/6154,5.701941281071987E-4
android/provider/Browser:clearSearches(android/content/ContentResolver;)V,16/625,2/6154,5.08752387379201E-4
android/accounts/AccountManager:addOnAccountsUpdatedListener(android/accounts/OnAccountsUpdateistener;android/os/Handler;Z)V,1/625,1/6154,4.054029934481791E-4
android/bluetooth/BluetoothAdapter:setName(java/lang/String;)Z,1/625,1/6154,4.054029934481791E-4
android/app/WallpaperManager:clear()V,2/625,1/6154,3.76788879204487E-4
android/net/wifi/WifiManager:reassociate()Z,3/625,1/6154,3.56486842056567E-4
android/content/ContentResolver:getIsSyncable(android/accounts/Account;java/lang/String;)I,4/625,1/6154,3.4073935862984344E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/protocol/HttpContext;)org/apache/http/HttpResponse;,4/625,1/6154,3.4073935862984344E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/client/ResponseHandler;org/apache/http/protocol/HttpContext;)java/lang/Object;,4/625,1/6154,3.4073935862984344E-4
android/provider/Settings$Secure:putInt(android/content/ContentResolver;java/lang/String;I)Z,4/625,1/6154,3.4073935862984344E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;org/apache/http/client/ResponseHandler;org/apache/http/protocol/HttpContext;)java/lang/Object;,4/625,1/6154,3.4073935862984344E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/client/ResponseHandler;)java/lang/Object;,5/625,1/6154,3.2787272781287485E-4
android/provider/ContactsContract$Contacts:getLookupUri(Jjava/lang/String;)android/net/Uri;,6/625,1/6154,3.1699414646243394E-4
android/net/wifi/WifiManager:disconnect()Z,7/625,1/6154,3.075706906649548E-4
android/accounts/AccountManager:getAuthToken(android/accounts/Account;java/lang/String;Zandroid/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,8/625,1/6154,2.992586135691827E-4
android/provider/Settings$System:putLong(android/content/ContentResolver;java/lang/String;J)Z,2/625,0/6154,0.0
android/bluetooth/BluetoothDevice:createInsecureRfcommSocketToServiceRecord(java/util/UUID;)android/bluetooth/BluetoothSocket;,3/625,0/6154,0.0
android/content/ContentResolver:getPeriodicSyncs(android/accounts/Account;java/lang/String;)java/util/ist;,4/625,0/6154,0.0
android/nfc/NfcAdapter:enableForegroundNdefPush(android/app/Activity;android/nfc/NdefMessage;)V,2/625,0/6154,0.0
android/bluetooth/BluetoothHeadset:startVoiceRecognition()Z,3/625,0/6154,0.0
android/location/LocationManager:requestSingleUpdate(android/location/Criteria;android/app/PendingIntent;)V,1/625,0/6154,0.0
android/location/LocationManager:addNmeaListener(android/location/GpsStatus$Nmeaistener;)Z,1/625,0/6154,0.0
android/content/ContextWrapper:sendStickyBroadcast(android/content/Intent;)V,2/625,0/6154,0.0
android/bluetooth/BluetoothDevice:getBluetoothClass()android/bluetooth/BluetoothClass;,8/625,0/6154,0.0
android/content/ContentResolver:getCurrentSync()android/content/SyncInfo;,4/625,0/6154,0.0
android/speech/SpeechRecognizer:cancel()V,8/625,0/6154,0.0
android/bluetooth/BluetoothHeadset:getPriority(android/bluetooth/BluetoothDevice;)I,3/625,0/6154,0.0
android/content/Context:sendStickyBroadcast(android/content/Intent;)V,4/625,0/6154,0.0
android/provider/Settings$Secure:putLong(android/content/ContentResolver;java/lang/String;J)Z,1/625,0/6154,0.0
android/content/ContextWrapper:clearWallpaper()V,2/625,0/6154,0.0
android/bluetooth/BluetoothAdapter:listenUsingInsecureRfcommWithServiceRecord(java/lang/String;java/util/UUID;)android/bluetooth/BluetoothServerSocket;,1/625,0/6154,0.0
android/content/ContextWrapper:setWallpaper(android/graphics/Bitmap;)V,2/625,0/6154,0.0
android/telephony/TelephonyManager:getVoiceMailAlphaTag()java/lang/String;,5/625,0/6154,0.0
android/bluetooth/BluetoothHeadset:stopVoiceRecognition()Z,3/625,0/6154,0.0
android/inputmethodservice/KeyboardView:onLongPress(android/inputmethodservice/Keyboard$Key;)Z,5/625,0/6154,0.0
android/bluetooth/BluetoothAdapter:getName()java/lang/String;,8/625,0/6154,0.0
android/nfc/NfcAdapter:disableForegroundNdefPush(android/app/Activity;)V,2/625,0/6154,0.0
android/content/Context:removeStickyBroadcast(android/content/Intent;)V,3/625,0/6154,0.0
android/content/Context:clearWallpaper()V,3/625,0/6154,0.0
android/provider/Contacts$Settings:setSetting(android/content/ContentResolver;java/lang/String;java/lang/String;java/lang/String;)V,2/625,0/6154,0.0
android/media/RingtoneManager:getRingtone(I)android/media/Ringtone;,2/625,0/6154,0.0
android/provider/Contacts$People:addToGroup(android/content/ContentResolver;JJ)android/net/Uri;,1/625,0/6154,0.0
android/speech/SpeechRecognizer:startListening(android/content/Intent;)V,9/625,0/6154,0.0
android/speech/SpeechRecognizer:setRecognitionListener(android/speech/Recognitionistener;)V,9/625,0/6154,0.0
android/provider/UserDictionary$Words:addWord(android/content/Context;java/lang/String;II)V,3/625,0/6154,0.0
android/provider/Settings$Secure:setLocationProviderEnabled(android/content/ContentResolver;java/lang/String;Z)V,5/625,0/6154,0.0
android/widget/VideoView:onKeyDown(Iandroid/view/KeyEvent;)Z,2/625,0/6154,0.0
android/content/ContextWrapper:setWallpaper(java/io/InputStream;)V,2/625,0/6154,0.0
android/speech/SpeechRecognizer:stopListening()V,3/625,0/6154,0.0
android/inputmethodservice/KeyboardView:setKeyboard(android/inputmethodservice/Keyboard;)V,8/625,0/6154,0.0
android/inputmethodservice/KeyboardView:onTouchEvent(android/view/MotionEvent;)Z,4/625,0/6154,0.0
android/content/ContentResolver:getCurrentSyncs()java/util/ist;,2/625,0/6154,0.0
android/app/AlarmManager:setTimeZone(java/lang/String;)V,1/625,0/6154,0.0
android/content/ContextWrapper:removeStickyBroadcast(android/content/Intent;)V,2/625,0/6154,0.0
android/location/LocationManager:requestSingleUpdate(java/lang/String;android/location/ocationistener;android/os/ooper;)V,2/625,0/6154,0.0
android/bluetooth/BluetoothHeadset:setPriority(android/bluetooth/BluetoothDevice;I)Z,3/625,0/6154,0.0
