文件路径：/home/xuchen/FanMing/file/topicScore/Google/Social.txt
文件总数：630
敏感函数个数:188
函数名,主题使用次数,恶意使用次数,威胁评分
android/hardware/Camera:open(I)android/hardware/Camera;,9/630,8/6154,0.0023390842371837266
android/accounts/AccountManager:addAccountExplicitly(android/accounts/Account;java/lang/String;android/os/Bundle;)Z,35/630,10/6154,0.0020198863319569296
android/media/Ringtone:setStreamType(I)V,11/630,7/6154,0.00195663229181698
android/media/Ringtone:stop()V,12/630,7/6154,0.0019170913844698105
android/app/KeyguardManager:exitKeyguardSecurely(android/app/KeyguardManager$OnKeyguardExitResult;)V,2/630,5/6154,0.0018867560080711074
android/media/MediaPlayer:setWakeMode(android/content/Context;I)V,4/630,5/6154,0.0017065084051978898
android/media/AudioManager:isBluetoothA2dpOn()Z,2/630,4/6154,0.001509404806456886
android/media/AsyncPlayer:play(android/content/Context;android/net/Uri;ZI)V,2/630,4/6154,0.001509404806456886
android/location/LocationManager:addTestProvider(java/lang/String;ZZZZZZZII)V,3/630,4/6154,0.001428196657865206
android/app/NotificationManager:notify(java/lang/String;Iandroid/app/Notification;)V,13/630,5/6154,0.0013432015874027816
android/media/MediaRecorder:setVideoSource(I)V,16/630,5/6154,0.001274692580496675
android/net/wifi/WifiManager:updateNetwork(android/net/wifi/WifiConfiguration;)I,1/630,3/6154,0.001217895947573741
android/location/LocationManager:setTestProviderStatus(java/lang/String;Iandroid/os/Bundle;J)V,1/630,3/6154,0.001217895947573741
android/provider/Settings$System:putString(android/content/ContentResolver;java/lang/String;java/lang/String;)Z,2/630,3/6154,0.0011320536048426645
android/location/LocationManager:setTestProviderLocation(java/lang/String;android/location/ocation;)V,3/630,3/6154,0.0010711474933989044
android/widget/QuickContactBadge:assignContactFromEmail(java/lang/String;Z)V,4/630,3/6154,0.001023905043118734
android/provider/Contacts$People:addToMyContactsGroup(android/content/ContentResolver;J)android/net/Uri;,1/630,2/6154,8.119306317158273E-4
android/net/ConnectivityManager:getNetworkPreference()I,1/630,2/6154,8.119306317158273E-4
android/media/AsyncPlayer:stop()V,2/630,2/6154,7.54702403228443E-4
android/content/ContentResolver:setIsSyncable(android/accounts/Account;java/lang/String;I)V,12/630,2/6154,5.477403955628031E-4
android/content/ContentResolver:getSyncAutomatically(android/accounts/Account;java/lang/String;)Z,17/630,2/6154,5.018095691746103E-4
