文件路径：/home/xuchen/FanMing/file/topicScore/Google/Lifestyle.txt
文件总数：789
敏感函数个数:166
函数名,主题使用次数,恶意使用次数,威胁评分
android/bluetooth/BluetoothAdapter:listenUsingRfcommWithServiceRecord(java/lang/String;java/util/UUID;)android/bluetooth/BluetoothServerSocket;,3/789,23/6154,0.008577411646615784
android/net/wifi/WifiManager:disableNetwork(I)Z,1/789,19/6154,0.008015094758427583
android/media/AudioManager:isWiredHeadsetOn()Z,2/789,20/6154,0.00786465956610256
android/provider/ContactsContract$RawContacts:getContactLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,15/789,28/6154,0.007702761874471543
android/content/Context:setWallpaper(android/graphics/Bitmap;)V,3/789,20/6154,0.00745861882314416
android/app/WallpaperManager:setBitmap(android/graphics/Bitmap;)V,15/789,27/6154,0.007427663236097559
android/provider/ContactsContract$Contacts:getLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,15/789,27/6154,0.007427663236097559
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;org/apache/http/client/ResponseHandler;)java/lang/Object;,14/789,25/6154,0.006991329802379506
android/net/ConnectivityManager:stopUsingNetworkFeature(Ijava/lang/String;)I,2/789,17/6154,0.0066849606311871765
android/location/LocationManager:getProvider(java/lang/String;)android/location/ocationProvider;,81/789,40/6154,0.00639105070409947
android/media/RingtoneManager:getRingtone(android/content/Context;android/net/Uri;)android/media/Ringtone;,46/789,32/6154,0.006369732312115453
android/net/wifi/WifiManager:getConfiguredNetworks()java/util/ist;,12/789,21/6154,0.006084791463918468
android/net/wifi/WifiManager:addNetwork(android/net/wifi/WifiConfiguration;)I,10/789,19/6154,0.005729282099930568
android/net/wifi/WifiManager:enableNetwork(IZ)Z,11/789,19/6154,0.005612612834916171
android/net/wifi/WifiManager:removeNetwork(I)Z,10/789,18/6154,0.005427740936776327
android/net/ConnectivityManager:requestRouteToHost(II)Z,3/789,14/6154,0.005221033176200912
android/net/wifi/WifiManager:saveConfiguration()Z,10/789,17/6154,0.005126199773622086
android/accounts/AccountManager:addAccount(java/lang/String;java/lang/String;[java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,2/789,13/6154,0.005112028717966665
android/provider/Contacts$People:createPersonInMyContactsGroup(android/content/ContentResolver;android/content/ContentValues;)android/net/Uri;,31/789,22/6154,0.004976014713612174
android/accounts/AccountManager:invalidateAuthToken(java/lang/String;java/lang/String;)V,9/789,16/6154,0.004932276901421958
android/accounts/AccountManager:getAuthToken(android/accounts/Account;java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,8/789,15/6154,0.004735540690047357
android/accounts/AccountManager:removeAccount(android/accounts/Account;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,4/789,12/6154,0.004286201492765813
android/bluetooth/BluetoothAdapter:getAddress()java/lang/String;,3/789,11/6154,0.0041022403527292885
android/accounts/AccountManager:getUserData(android/accounts/Account;java/lang/String;)java/lang/String;,1/789,9/6154,0.003796623832939381
android/media/Ringtone:play()V,35/789,16/6154,0.003485926558185592
android/accounts/AccountManager:addAccountExplicitly(android/accounts/Account;java/lang/String;android/os/Bundle;)Z,5/789,10/6154,0.003443168269135159
android/app/WallpaperManager:setResource(I)V,1/789,8/6154,0.0033747767403905613
android/net/wifi/WifiManager:getDhcpInfo()android/net/DhcpInfo;,11/789,11/6154,0.0032494074307409413
android/accounts/AccountManager:getPassword(android/accounts/Account;)java/lang/String;,4/789,9/6154,0.00321465111957436
android/media/Ringtone:stop()V,1/789,7/6154,0.0029529296478417407
android/app/WallpaperManager:suggestDesiredDimensions(II)V,3/789,7/6154,0.002610516588100456
android/location/LocationManager:getProviders(android/location/Criteria;Z)java/util/ist;,7/789,8/6154,0.0025921183181247666
android/hardware/Camera:open(I)android/hardware/Camera;,13/789,8/6154,0.0022761767533717027
android/location/LocationManager:sendExtraCommand(java/lang/String;java/lang/String;android/os/Bundle;)Z,7/789,7/6154,0.0022681035283591707
android/provider/Browser:clearHistory(android/content/ContentResolver;)V,1/789,5/6154,0.0021092354627441005
android/net/wifi/WifiManager$MulticastLock:acquire()V,1/789,4/6154,0.0016873883701952806
android/net/wifi/WifiManager$MulticastLock:release()V,1/789,4/6154,0.0016873883701952806
android/media/MediaRecorder:setVideoSource(I)V,6/789,5/6154,0.0016671912278153748
android/app/NotificationManager:notify(java/lang/String;Iandroid/app/Notification;)V,7/789,5/6154,0.001620073948827979
